ds,Agency Services,Insurance_Actual
01.01.21,0,9315434
02.01.21,0,9315434
03.01.21,0,9315434
04.01.21,228,9315434
05.01.21,186,9315434
06.01.21,183,9315434
07.01.21,128,9315434
08.01.21,171,9315434
09.01.21,0,9315434
10.01.21,0,9315434
11.01.21,188,9315434
12.01.21,157,9315434
13.01.21,150,9315434
14.01.21,194,9315434
15.01.21,156,9315434
16.01.21,0,9315434
17.01.21,0,9315434
18.01.21,203,9315434
19.01.21,156,9315434
20.01.21,164,9315434
21.01.21,141,9315434
22.01.21,151,9315434
23.01.21,0,9315434
24.01.21,0,9315434
25.01.21,159,9315434
26.01.21,168,9315434
27.01.21,139,9315434
28.01.21,140,9315434
29.01.21,150,9315434
30.01.21,0,9315434
31.01.21,0,9315434
01.02.21,232,6393191
02.02.21,151,6393191
03.02.21,132,6393191
04.02.21,129,6393191
05.02.21,133,6393191
06.02.21,0,6393191
07.02.21,0,6393191
08.02.21,151,6393191
09.02.21,126,6393191
10.02.21,100,6393191
11.02.21,124,6393191
12.02.21,115,6393191
13.02.21,0,6393191
14.02.21,0,6393191
15.02.21,45,6393191
16.02.21,147,6393191
17.02.21,127,6393191
18.02.21,160,6393191
19.02.21,122,6393191
20.02.21,0,6393191
21.02.21,0,6393191
22.02.21,143,6393191
23.02.21,136,6393191
24.02.21,115,6393191
25.02.21,113,6393191
26.02.21,135,6393191
27.02.21,0,6393191
28.02.21,1,6393191
01.03.21,190,6619175
02.03.21,163,6619175
03.03.21,123,6619175
04.03.21,140,6619175
05.03.21,118,6619175
06.03.21,0,6619175
07.03.21,0,6619175
08.03.21,144,6619175
09.03.21,132,6619175
10.03.21,126,6619175
11.03.21,109,6619175
12.03.21,126,6619175
13.03.21,1,6619175
14.03.21,0,6619175
15.03.21,155,6619175
16.03.21,125,6619175
17.03.21,104,6619175
18.03.21,122,6619175
19.03.21,138,6619175
20.03.21,0,6619175
21.03.21,0,6619175
22.03.21,140,6619175
23.03.21,137,6619175
24.03.21,121,6619175
25.03.21,114,6619175
26.03.21,110,6619175
27.03.21,0,6619175
28.03.21,0,6619175
29.03.21,144,6619175
30.03.21,153,6619175
31.03.21,134,6619175
01.04.21,116,7161452
02.04.21,0,7161452
03.04.21,0,7161452
04.04.21,0,7161452
05.04.21,113,7161452
06.04.21,124,7161452
07.04.21,143,7161452
08.04.21,143,7161452
09.04.21,137,7161452
10.04.21,0,7161452
11.04.21,0,7161452
12.04.21,158,7161452
13.04.21,172,7161452
14.04.21,163,7161452
15.04.21,131,7161452
16.04.21,137,7161452
17.04.21,0,7161452
18.04.21,0,7161452
19.04.21,112,7161452
20.04.21,151,7161452
21.04.21,130,7161452
22.04.21,116,7161452
23.04.21,109,7161452
24.04.21,0,7161452
25.04.21,0,7161452
26.04.21,158,7161452
27.04.21,145,7161452
28.04.21,109,7161452
29.04.21,110,7161452
30.04.21,160,7161452
01.05.21,0,7674701
02.05.21,0,7674701
03.05.21,144,7674701
04.05.21,178,7674701
05.05.21,120,7674701
06.05.21,117,7674701
07.05.21,125,7674701
08.05.21,0,7674701
09.05.21,0,7674701
10.05.21,135,7674701
11.05.21,128,7674701
12.05.21,116,7674701
13.05.21,90,7674701
14.05.21,145,7674701
15.05.21,0,7674701
16.05.21,0,7674701
17.05.21,119,7674701
18.05.21,108,7674701
19.05.21,112,7674701
20.05.21,123,7674701
21.05.21,116,7674701
22.05.21,0,7674701
23.05.21,0,7674701
24.05.21,0,7674701
25.05.21,153,7674701
26.05.21,152,7674701
27.05.21,135,7674701
28.05.21,132,7674701
29.05.21,0,7674701
30.05.21,0,7674701
31.05.21,138,7674701
01.06.21,152,7624660
02.06.21,131,7624660
03.06.21,144,7624660
04.06.21,138,7624660
05.06.21,0,7624660
06.06.21,0,7624660
07.06.21,186,7624660
08.06.21,180,7624660
09.06.21,150,7624660
10.06.21,144,7624660
11.06.21,135,7624660
12.06.21,0,7624660
13.06.21,0,7624660
14.06.21,198,7624660
15.06.21,223,7624660
16.06.21,149,7624660
17.06.21,157,7624660
18.06.21,148,7624660
19.06.21,0,7624660
20.06.21,0,7624660
21.06.21,184,7624660
22.06.21,169,7624660
23.06.21,190,7624660
24.06.21,174,7624660
25.06.21,173,7624660
26.06.21,1,7624660
27.06.21,0,7624660
28.06.21,216,7624660
29.06.21,174,7624660
30.06.21,239,7624660
01.07.21,0,9097930
02.07.21,153,9097930
03.07.21,0,9097930
04.07.21,0,9097930
05.07.21,253,9097930
06.07.21,217,9097930
07.07.21,214,9097930
08.07.21,200,9097930
09.07.21,181,9097930
10.07.21,0,9097930
11.07.21,0,9097930
12.07.21,230,9097930
13.07.21,194,9097930
14.07.21,169,9097930
15.07.21,222,9097930
16.07.21,206,9097930
17.07.21,0,9097930
18.07.21,0,9097930
19.07.21,195,9097930
20.07.21,205,9097930
21.07.21,211,9097930
22.07.21,243,9097930
23.07.21,152,9097930
24.07.21,0,9097930
25.07.21,0,9097930
26.07.21,233,9097930
27.07.21,196,9097930
28.07.21,219,9097930
29.07.21,193,9097930
30.07.21,184,9097930
31.07.21,0,9097930
01.08.21,0,8762068
02.08.21,0,8762068
03.08.21,287,8762068
04.08.21,239,8762068
05.08.21,210,8762068
06.08.21,183,8762068
07.08.21,0,8762068
08.08.21,0,8762068
09.08.21,218,8762068
10.08.21,198,8762068
11.08.21,205,8762068
12.08.21,221,8762068
13.08.21,196,8762068
14.08.21,0,8762068
15.08.21,0,8762068
16.08.21,241,8762068
17.08.21,193,8762068
18.08.21,223,8762068
19.08.21,211,8762068
20.08.21,214,8762068
21.08.21,0,8762068
22.08.21,0,8762068
23.08.21,233,8762068
24.08.21,205,8762068
25.08.21,205,8762068
26.08.21,191,8762068
27.08.21,166,8762068
28.08.21,0,8762068
29.08.21,0,8762068
30.08.21,278,8762068
31.08.21,236,8762068
01.09.21,193,10408730
02.09.21,184,10408730
03.09.21,153,10408730
04.09.21,0,10408730
05.09.21,0,10408730
06.09.21,0,10408730
07.09.21,243,10408730
08.09.21,224,10408730
09.09.21,212,10408730
10.09.21,185,10408730
11.09.21,0,10408730
12.09.21,0,10408730
13.09.21,215,10408730
14.09.21,224,10408730
15.09.21,223,10408730
16.09.21,225,10408730
17.09.21,157,10408730
