ds,Agency Services,Insurance_Actual
01.08.23,,19162757
02.08.23,,19162757
03.08.23,,19162757
04.08.23,,19162757
05.08.23,,19162757
06.08.23,,19162757
07.08.23,,19162757
08.08.23,,19162757
09.08.23,,19162757
10.08.23,,19162757
11.08.23,,19162757
12.08.23,,19162757
13.08.23,,19162757
14.08.23,,19162757
15.08.23,,19162757
16.08.23,,19162757
17.08.23,,19162757
18.08.23,,19162757
19.08.23,,19162757
20.08.23,,19162757
21.08.23,,19162757
22.08.23,,19162757
23.08.23,,19162757
24.08.23,,19162757
25.08.23,,19162757
26.08.23,,19162757
27.08.23,,19162757
28.08.23,,19162757
29.08.23,,19162757
30.08.23,,19162757
31.08.23,,19162757
01.09.23,,21046220
02.09.23,,21046220
03.09.23,,21046220
04.09.23,,21046220
05.09.23,,21046220
06.09.23,,21046220
07.09.23,,21046220
08.09.23,,21046220
09.09.23,,21046220
10.09.23,,21046220
11.09.23,,21046220
12.09.23,,21046220
13.09.23,,21046220
14.09.23,,21046220
15.09.23,,21046220
16.09.23,,21046220
17.09.23,,21046220
18.09.23,,21046220
19.09.23,,21046220
20.09.23,,21046220
21.09.23,,21046220
22.09.23,,21046220
23.09.23,,21046220
24.09.23,,21046220
25.09.23,,21046220
26.09.23,,21046220
27.09.23,,21046220
28.09.23,,21046220
29.09.23,,21046220
30.09.23,,21046220
01.10.23,,23271787
02.10.23,,23271787
03.10.23,,23271787
04.10.23,,23271787
05.10.23,,23271787
06.10.23,,23271787
07.10.23,,23271787
08.10.23,,23271787
09.10.23,,23271787
10.10.23,,23271787
11.10.23,,23271787
12.10.23,,23271787
13.10.23,,23271787
14.10.23,,23271787
15.10.23,,23271787
16.10.23,,23271787
17.10.23,,23271787
18.10.23,,23271787
19.10.23,,23271787
20.10.23,,23271787
21.10.23,,23271787
22.10.23,,23271787
23.10.23,,23271787
24.10.23,,23271787
25.10.23,,23271787
26.10.23,,23271787
27.10.23,,23271787
28.10.23,,23271787
29.10.23,,23271787
30.10.23,,23271787
31.10.23,,23271787
01.11.23,,22844500
02.11.23,,22844500
03.11.23,,22844500
04.11.23,,22844500
05.11.23,,22844500
06.11.23,,22844500
07.11.23,,22844500
08.11.23,,22844500
09.11.23,,22844500
10.11.23,,22844500
11.11.23,,22844500
12.11.23,,22844500
13.11.23,,22844500
14.11.23,,22844500
15.11.23,,22844500
16.11.23,,22844500
17.11.23,,22844500
18.11.23,,22844500
19.11.23,,22844500
20.11.23,,22844500
21.11.23,,22844500
22.11.23,,22844500
23.11.23,,22844500
24.11.23,,22844500
25.11.23,,22844500
26.11.23,,22844500
27.11.23,,22844500
28.11.23,,22844500
29.11.23,,22844500
30.11.23,,22844500
01.12.23,,24809700
02.12.23,,24809700
03.12.23,,24809700
04.12.23,,24809700
05.12.23,,24809700
06.12.23,,24809700
07.12.23,,24809700
08.12.23,,24809700
09.12.23,,24809700
10.12.23,,24809700
11.12.23,,24809700
12.12.23,,24809700
13.12.23,,24809700
14.12.23,,24809700
15.12.23,,24809700
16.12.23,,24809700
17.12.23,,24809700
18.12.23,,24809700
19.12.23,,24809700
20.12.23,,24809700
21.12.23,,24809700
22.12.23,,24809700
23.12.23,,24809700
24.12.23,,24809700
25.12.23,,24809700
26.12.23,,24809700
27.12.23,,24809700
28.12.23,,24809700
29.12.23,,24809700
30.12.23,,24809700
31.12.23,,24809700
01.01.24,,29079844.7
02.01.24,,29079844.7
03.01.24,,29079844.7
04.01.24,,29079844.7
05.01.24,,29079844.7
06.01.24,,29079844.7
07.01.24,,29079844.7
08.01.24,,29079844.7
09.01.24,,29079844.7
10.01.24,,29079844.7
11.01.24,,29079844.7
12.01.24,,29079844.7
13.01.24,,29079844.7
14.01.24,,29079844.7
15.01.24,,29079844.7
16.01.24,,29079844.7
17.01.24,,29079844.7
18.01.24,,29079844.7
19.01.24,,29079844.7
20.01.24,,29079844.7
21.01.24,,29079844.7
22.01.24,,29079844.7
23.01.24,,29079844.7
24.01.24,,29079844.7
25.01.24,,29079844.7
26.01.24,,29079844.7
27.01.24,,29079844.7
28.01.24,,29079844.7
29.01.24,,29079844.7
30.01.24,,29079844.7
31.01.24,,29079844.7
01.02.24,,25849496.71
02.02.24,,25849496.71
03.02.24,,25849496.71
04.02.24,,25849496.71
05.02.24,,25849496.71
06.02.24,,25849496.71
07.02.24,,25849496.71
08.02.24,,25849496.71
09.02.24,,25849496.71
10.02.24,,25849496.71
11.02.24,,25849496.71
12.02.24,,25849496.71
13.02.24,,25849496.71
14.02.24,,25849496.71
15.02.24,,25849496.71
16.02.24,,25849496.71
17.02.24,,25849496.71
18.02.24,,25849496.71
19.02.24,,25849496.71
20.02.24,,25849496.71
21.02.24,,25849496.71
22.02.24,,25849496.71
23.02.24,,25849496.71
24.02.24,,25849496.71
25.02.24,,25849496.71
26.02.24,,25849496.71
27.02.24,,25849496.71
28.02.24,,25849496.71
29.02.24,,25849496.71
01.03.24,,27996575.62
02.03.24,,27996575.62
03.03.24,,27996575.62
04.03.24,,27996575.62
05.03.24,,27996575.62
06.03.24,,27996575.62
07.03.24,,27996575.62
08.03.24,,27996575.62
09.03.24,,27996575.62
10.03.24,,27996575.62
11.03.24,,27996575.62
12.03.24,,27996575.62
13.03.24,,27996575.62
14.03.24,,27996575.62
15.03.24,,27996575.62
16.03.24,,27996575.62
17.03.24,,27996575.62
18.03.24,,27996575.62
19.03.24,,27996575.62
20.03.24,,27996575.62
21.03.24,,27996575.62
22.03.24,,27996575.62
23.03.24,,27996575.62
24.03.24,,27996575.62
25.03.24,,27996575.62
26.03.24,,27996575.62
27.03.24,,27996575.62
28.03.24,,27996575.62
29.03.24,,27996575.62
30.03.24,,27996575.62
31.03.24,,27996575.62
01.04.24,,25192822.46
02.04.24,,25192822.46
03.04.24,,25192822.46
04.04.24,,25192822.46
05.04.24,,25192822.46
06.04.24,,25192822.46
07.04.24,,25192822.46
08.04.24,,25192822.46
09.04.24,,25192822.46
10.04.24,,25192822.46
11.04.24,,25192822.46
12.04.24,,25192822.46
13.04.24,,25192822.46
14.04.24,,25192822.46
15.04.24,,25192822.46
16.04.24,,25192822.46
17.04.24,,25192822.46
18.04.24,,25192822.46
19.04.24,,25192822.46
20.04.24,,25192822.46
21.04.24,,25192822.46
22.04.24,,25192822.46
23.04.24,,25192822.46
24.04.24,,25192822.46
25.04.24,,25192822.46
26.04.24,,25192822.46
27.04.24,,25192822.46
28.04.24,,25192822.46
29.04.24,,25192822.46
30.04.24,,25192822.46
01.05.24,,25637910.92
02.05.24,,25637910.92
03.05.24,,25637910.92
04.05.24,,25637910.92
05.05.24,,25637910.92
06.05.24,,25637910.92
07.05.24,,25637910.92
08.05.24,,25637910.92
09.05.24,,25637910.92
10.05.24,,25637910.92
11.05.24,,25637910.92
12.05.24,,25637910.92
13.05.24,,25637910.92
14.05.24,,25637910.92
15.05.24,,25637910.92
16.05.24,,25637910.92
17.05.24,,25637910.92
18.05.24,,25637910.92
19.05.24,,25637910.92
20.05.24,,25637910.92
21.05.24,,25637910.92
22.05.24,,25637910.92
23.05.24,,25637910.92
24.05.24,,25637910.92
25.05.24,,25637910.92
26.05.24,,25637910.92
27.05.24,,25637910.92
28.05.24,,25637910.92
29.05.24,,25637910.92
30.05.24,,25637910.92
31.05.24,,25637910.92
01.06.24,,22253510.63
02.06.24,,22253510.63
03.06.24,,22253510.63
04.06.24,,22253510.63
05.06.24,,22253510.63
06.06.24,,22253510.63
07.06.24,,22253510.63
08.06.24,,22253510.63
09.06.24,,22253510.63
10.06.24,,22253510.63
11.06.24,,22253510.63
12.06.24,,22253510.63
13.06.24,,22253510.63
14.06.24,,22253510.63
15.06.24,,22253510.63
16.06.24,,22253510.63
17.06.24,,22253510.63
18.06.24,,22253510.63
19.06.24,,22253510.63
20.06.24,,22253510.63
21.06.24,,22253510.63
22.06.24,,22253510.63
23.06.24,,22253510.63
24.06.24,,22253510.63
25.06.24,,22253510.63
26.06.24,,22253510.63
27.06.24,,22253510.63
28.06.24,,22253510.63
29.06.24,,22253510.63
30.06.24,,22253510.63
01.07.24,,23964801.09
02.07.24,,23964801.09
03.07.24,,23964801.09
